Nama Warkop,Lat,Long,Alamat,Kab/Kota
"""Warkop ARKEN""",-7.45383,112.4397,"Jl. Raya Kenongo, RT.04/RW.01, Lorsari, Mlirip, Kec. Jetis, Mojokerto, Jawa Timur 61352, Indonesia",Kab
"""Warkop Dua putri"" Condong",-7.41148,112.4741,"Unnamed Road, Jetis, Kec. Jetis, Mojokerto, Jawa Timur 61352, Indonesia",Kab
"""warkop harmoni sadewa""",-7.57251,112.3796,"Kedaton, Sentonorejo, Trowulan, Mojokerto, East Java, Indonesia",Kab
"""Warkop serut""",-7.48174,112.4132,"Unnamed Road, Mergelo, Mergelo, Blooto, Kec. Prajurit Kulon, Kota Mojokerto, Jawa Timur 61327, Indonesia",Kab
"""Wid"" Bengkel Motor Dan Warkop Wifi",-7.40019,112.4235,"Jl. Raya Tugu No.147, Tugu, Kupang, Kec. Jetis, Mojokerto, Jawa Timur 61352, Indonesia",Kab
24 Hours Wasis Coffeeshop,-7.50233,112.4623,"Teras, Tambakagung, Puri, Mojokerto, East Java 61363, Indonesia",Kab
Air Terjun 7 Bidadari Rejosari Jatirejo,-7.66292,112.4371,"Unnamed Road, 61373, Hutan, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
aKademi Kopi Jatirejo,-7.58692,112.4165,"Jl. Jatirejo - Jabung No.198, Bulaksempuh, Gebangsari, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
Akar Seribu,-7.67338,112.4803,"Jl. Desa Kalikater, Hutan, Begaganlimo, Gondang, Mojokerto, Jawa Timur 61372, Indonesia",Kab
ANGKRINGAN BARNET (WARKOP HERBAL),-7.53261,112.4073,"Jl. Lengkong, Bengkong, Jambuwok, Kec. Trowulan, Mojokerto, Jawa Timur 61362, Indonesia",Kab
Angkringan Randegan,-7.32623,112.4767,"Samberan, Randegan, Dawar Blandong, Mojokerto, East Java 61354, Indonesia",Kab
Apotik Toyan Farma,-7.59005,112.4216,"Jl. Jatirejo - Jabung, Sekranjang, Gebangsari, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
Artyan Warkop Badak e Free Wifi,-7.61158,112.5313,"Raya Simpang tiga Pandan, Pandan, Pandanarum, Kec. Pacet, Mojokerto, Jawa Timur 61374, Indonesia",Kab
Bakso Nyamleng Cak Dari,-7.39699,112.3832,"Jl. Raya Kemlagi No.5, Bakalan, Mojodadi, Kec. Kemlagi, Mojokerto, Jawa Timur 61353, Indonesia",Kab
Balai Desa Sumberagung,-7.59988,112.441,"Jl. Raya Perbekalan No. 1, Jetis, Sumberagung, Semambung, Sumberagung, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
Balai Dusun Begagan,-7.66374,112.4796,"Dusun Limo, Begaganlimo, Gondang, Mojokerto, East Java 61372, Indonesia",Kab
Balongwono,-7.49687,112.38,"Balongwono, Trowulan, Mojokerto, East Java, Indonesia",Kab
Bandung,-7.44041,112.3949,"Bandung, Gedek, Mojokerto, East Java, Indonesia",Kab
Bangeran,-7.37085,112.444,"Bangeran, Dawar Blandong, Mojokerto, East Java, Indonesia",Kab
Banjarsari,-7.42295,112.4142,"Banjarsari, Jetis, Mojokerto, East Java, Indonesia",Kab
Banyulegi,-7.3165,112.4455,"Banyulegi, Dawar Blandong, Mojokerto, East Java, Indonesia",Kab
BASECAMP EDCCASH MOJOKERTO (Warkop BONOROWO),-7.50086,112.4229,"Dalmon Selatan, Japan, Sooko, Mojokerto, East Java 61361, Indonesia",Kab
Baureno,-7.60425,112.4321,"Baureno, Jatirejo, Mojokerto, East Java, Indonesia",Kab
Bejijong,-7.55171,112.3725,"Bejijong, Trowulan, Mojokerto, East Java, Indonesia",Kab
Bendung,-7.39611,112.444,"Bendung, Jetis, Mojokerto, East Java, Indonesia",Kab
Bengkel Kupang Jaya,-7.40556,112.4281,"Jl. Raya Kupang No.30, Kupang, Kec. Jetis, Mojokerto, Jawa Timur 61352, Indonesia",Kab
Bescem(warkop Soehardie),-7.50195,112.5089,"Pendowo, Ngrowo, Bangsal, Mojokerto, East Java 61381, Indonesia",Kab
BROFELLAZ WARKOP & POMADESTORE,-7.49521,112.46,"Jl. Gempol - Mojokerto No.158, Jabon, Kec. Mojoanyar, Mojokerto, Jawa Timur 61364, Indonesia",Kab
Bubur Kacang Ijo & Warkop Bu Fatimah,-7.52212,112.4618,"Jl. Raya Sambiroto, Bedok, Mlaten, Kec. Puri, Mojokerto, Jawa Timur 61363, Indonesia",Kab
Bukit Watu Jengger,-7.67476,112.4199,"Hutan, Nawangan, Tawangrejo, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
Cak Warkop Sugeng,-7.4926,112.4281,"Jl. KH Surgi No.29, Sooko, Kec. Sooko, Kota Mojokerto, Jawa Timur 61361, Indonesia",Kab
Candi Jedong,-7.58024,112.6112,"Wotanmas Jedong, Jenong Kulon, Lolawang, Kec. Ngoro, Mojokerto, Jawa Timur 61385, Indonesia",Kab
Cendoro,-7.34429,112.3725,"Cendoro, Dawar Blandong, Mojokerto, East Java, Indonesia",Kab
Cimot Warkop,-7.53161,112.431,"Jl. Plososari - Padangan, RT.2/RW.4, Kertorejo, Kintelan, Kec. Puri, Mojokerto, Jawa Timur 61363, Indonesia",Kab
Claket,-7.67315,112.5632,"Claket, Pacet, Mojokerto, East Java, Indonesia",Kab
Coblok warkop,-7.58413,112.4445,"Jl. Raya Desa Mojogeneng, Jetis, Mojogeneng, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
Cuci Motor & Warkop Wifi ROSSI,-7.61288,112.4914,"Jl. Yon. Munasir No.1929, Kejambon, Gondang, Mojokerto, Jawa Timur 61372, Indonesia",Kab
"Dam Payung, Lebak Jabung Jatirejo",-7.62702,112.4122,"Lebak, Lebakjabung, Jatirejo, Mojokerto, East Java 61373, Indonesia",Kab
Dawar Blandong,-7.33438,112.4172,"Dawar Blandong, Mojokerto, East Java, Indonesia",Kab
Dawarblandong,-7.34716,112.4142,"Dawarblandong, Dawar Blandong, Mojokerto, East Java, Indonesia",Kab
Dewa Jembul,-7.66311,112.4455,"Jembul, Jatirejo, Mojokerto, East Java 61373, Indonesia",Kab
DIIK WARKOP WIFI,-7.54673,112.5232,"Pandisari, Sumber Jati, Sawo, Kec. Kutorejo, Mojokerto, Jawa Timur 61383, Indonesia",Kab
Dinoyo,-7.59293,112.4306,"Dinoyo, Jatirejo, Mojokerto, East Java, Indonesia",Kab
District Office Gedeg,-7.45536,112.4236,"Jl. Raya S. Prawiro Sudirdjo, Jl. Raya Kemantren Wetan No.63, Kemantren Wetan, Terusan, Kec. Gedek, Mojokerto, Jawa Timur 61351, Indonesia",Kab
Domas,-7.54979,112.4083,"Domas, Trowulan, Mojokerto, East Java, Indonesia",Kab
"Doyok""""""",-7.44702,112.4615,"Dusun Lengkong Gang 1 No.1, Lengkong, Kec. Mojoanyar, Mojokerto, Jawa Timur 61364, Indonesia",Kab
D'warkop,-7.40824,112.4736,"Jl. Raya Jetis, Jetis, Canggu, Kec. Jetis, Mojokerto, Jawa Timur 61352, Indonesia",Kab
ECO WARKOP 88,-7.41702,112.3984,"Jl. Mojokerto-Lamongan, Japanan Kidul, Japanan, Kec. Kemlagi, Mojokerto, Jawa Timur 61353, Indonesia",Kab
Es Degan Warkop,-7.45212,112.4569,"Jl. Raya Ijen No.206, Jatikulon, Lengkong, Kec. Mojoanyar, Mojokerto, Jawa Timur 61364, Indonesia",Kab
ES OYEN + Warkop,-7.44548,112.3549,"Unnamed Road, Ngogri, Kedungsari, Kec. Kemlagi, Mojokerto, Jawa Timur 61353, Indonesia",Kab
Foresta Padusan Resort,-7.68612,112.5471,"Jl. Air Panas, Desa Padusan, Pacet, Padusan, Kec. Pacet, Mojokerto, Jawa Timur 61374, Indonesia",Kab
FORESTER WARKOP,-7.45658,112.4309,"Jl. Raya Sidoharjo, Terusan, Kec. Gedek, Mojokerto, Jawa Timur 61351, Indonesia",Kab
Gado-Gado Pak Bukari Dan Warkop,-7.56729,112.5095,"Jl. Mayjen H. Soemadi No.62, Pulo, Kutorejo, Kec. Kutorejo, Mojokerto, Jawa Timur 61383, Indonesia",Kab
Gebangsari,-7.59357,112.4187,"Gebangsari, Jatirejo, Mojokerto, East Java, Indonesia",Kab
Gedek,-7.44144,112.3993,"Gedek, Mojokerto, East Java, Indonesia",Kab
Gembongan,-7.45013,112.3785,"Gembongan, Gedek, Mojokerto, East Java, Indonesia",Kab
GEMINI WARKOP,-7.45491,112.379,"Jl. Garbo, Gembongan, Kec. Gedek, Mojokerto, Jawa Timur 61351, Indonesia",Kab
GEMINI WARKOP,-7.45491,112.379,"Jl. Garbo No.164, RT.21/RW.06, Gembongan, Kec. Gedek, Mojokerto, Jawa Timur 61351, Indonesia",Kab
Gempolkrep,-7.451,112.3859,"Gempolkrep, Gedek, Mojokerto, East Java, Indonesia",Kab
Giras Warkop Dki Badaks,-7.49524,112.4597,"Jl. Gempol - Mojokerto No.158, Jabon, Kec. Mojoanyar, Mojokerto, Jawa Timur 61364, Indonesia",Kab
Halte Warkop,-7.45539,112.4217,"Jalan Raya Kemantren Wetan RT. 8 RW. 1, Kpeuh, Terusan, Kec. Gedek, Mojokerto, Jawa Timur 61351, Indonesia",Kab
Heloise band(warkop),-7.52103,112.5312,"Heloise band, Sumbertanggul, Kec. Mojosari, Mojokerto, Jawa Timur 61382, Indonesia",Kab
History Coffe Penompo,-7.43771,112.4445,"Sukorame, Penompo, Jetis, Mojokerto, East Java 61352, Indonesia",Kab
Iksan Warkop.2 Jari,-7.32623,112.4763,"Jl. Raya Randegan No.20, Madureso, Randegan, Dawar Blandong, Mojokerto, Jawa Timur 61354, Indonesia",Kab
INSTITUT KH ABDUL CHALIM,-7.63415,112.5524,"Jalan Raya Tirtowening No.17, Bendunganjati, Pacet, Bendorejo, Bendunganjati, Kec. Pacet, Mojokerto, Jawa Timur 61374, Indonesia",Kab
Jatijejer,-7.60457,112.5662,"Jatijejer, Trawas, Mojokerto, East Java, Indonesia",Kab
Jatirejo,-7.61774,112.4172,"Jatirejo, Mojokerto, East Java, Indonesia",Kab
Jatirejo,-7.60522,112.4142,"Jatirejo, Mojokerto, East Java, Indonesia",Kab
Jembatan trawas,-7.67018,112.5797,"Unnamed Rd, 61374, Libis, Cembor, Kec. Pacet, Mojokerto, Jawa Timur 61374, Indonesia",Kab
Jerukseger,-7.42895,112.3964,"Jerukseger, Gedek, Mojokerto, East Java, Indonesia",Kab
Jetis,-7.40858,112.447,"Jetis, Mojokerto, East Java, Indonesia",Kab
Jetis,-7.41609,112.4724,"Jetis, Mojokerto, East Java, Indonesia",Kab
jus mbak nur & warkop,-7.49478,112.4664,"depan lapangan, Tambak Rejo, Gayaman, Kec. Mojoanyar, Mojokerto, Jawa Timur 61364, Indonesia",Kab
J-Warkop,-7.65239,112.6108,"Jl Airlangga, RT.05/RW.02, Duyung, Kesiman, Trawas, Mojokerto, East Java 61375, Indonesia",Kab
J-Warkop,-7.64908,112.6157,"Jl. Raya Duyung Trawas Hill, Buntal, Duyung, Kec. Trawas, Mojokerto, Jawa Timur 61375, Indonesia",Kab
Kalikatir,-7.64255,112.4738,"Kalikatir, Gondang, Mojokerto, East Java, Indonesia",Kab
Kantor Kecamatan Puri,-7.54308,112.4481,"Jl. Jendral Sudirman, Puri, Kec. Puri, Mojokerto, Jawa Timur 61363, Indonesia",Kab
KB NURUL HUDA KUMITIR,-7.56814,112.4094,"Kumitir, Jatirejo, Mojokerto, East Java 61373, Indonesia",Kab
Kecamatan Jatirejo,-7.58003,112.4173,"Kedung Rupit, Sumengko, Jatirejo, Mojokerto, East Java 61373, Indonesia",Kab
"Kedai ""Segaran.com""",-7.55769,112.3819,"Jl. Brawijaya No.80, Ngelinguk, Unggahan, Kec. Trowulan, Mojokerto, Jawa Timur 61362, Indonesia",Kab
Kedai Kopi 19,-7.50293,112.4768,"Desa Pancing, Jl. Kh. Ahmad Dahlan No.19, Pacing, Kec. Bangsal, Mojokerto, Jawa Timur 61381, Indonesia",Kab
Kedai Kopi Nusantara Pandan Arum,-7.60767,112.5335,"Jl. Raya Tirtowening Pacet No.1, Njarum, Pandanarum, Kec. Pacet, Mojokerto, Jawa Timur 61374, Indonesia",Kab
Kembangbelor,-7.64813,112.5573,"Kembangbelor, Pacet, Mojokerto, East Java, Indonesia",Kab
Kemlagi,-7.3975,112.3695,"Kemlagi, Mojokerto, East Java, Indonesia",Kab
KENZIE WARKOP,-7.61776,112.4934,"Jalan Raya Gondang, RT.02/RW.01, Kedungpen, Padi, Gondang, Mojokerto, Jawa Timur 61372, Indonesia",Kab
KEPO WARKOP AND GARAGE,-7.50508,112.527,"Jl. Nasional 24, Mojogeneng, Modopuro, Kec. Mojosari, Mojokerto, Jawa Timur 61381, Indonesia",Kab
KHEZYALUNA Warkop,-7.65368,112.5377,"Jl. Seharusnya No.35, Kembang Sore, Petak, Kec. Pacet, Mojokerto, Jawa Timur 61374, Indonesia",Kab
KING WARKOP,-7.49177,112.4333,"Jl. Wijaya Kusuma No.77, Mergelo, Sooko, Kec. Sooko, Kota Mojokerto, Jawa Timur 61361, Indonesia",Kab
Kitamanis Fresh Coffee,-7.60544,112.5319,"Jl. Air Panas No.16, Pandan, Pandanarum, Kec. Pacet, Mojokerto, Jawa Timur 61374, Indonesia",Kab
Kupang,-7.40684,112.4321,"Kupang, Jetis, Mojokerto, East Java, Indonesia",Kab
Lakardowo,-7.36991,112.4619,"Lakardowo, Jetis, Mojokerto, East Java, Indonesia",Kab
Lebakjabung,-7.62043,112.4142,"Lebakjabung, Jatirejo, Mojokerto, East Java, Indonesia",Kab
Lesehan Makmur,-7.58723,112.576,"Desa Sugeng RT. 1 / RW. 1, Sugeng, pungging, Sugeng, Kec. Trawas, Mojokerto, Jawa Timur 61375, Indonesia",Kab
Lesehan Sri Rejeki,-7.33029,112.4106,"Jl. Raya Dawarblandong desa, RT.2/RW.8, Sidotangi, Cinandang, Dawar Blandong, Mojokerto, Jawa Timur 61354, Indonesia",Kab
M jons warkop,-7.534,112.6286,"Dsn.Sengon RT1 RW3, Sengon, Bandarasri, Kec. Ngoro, Mojokerto, Jawa Timur 61385, Indonesia",Kab
M. Qoderi. Warkop ketapang,-7.40763,112.4192,"Jl. Tegaron, Tegaron, Jolotundo, Kec. Jetis, Mojokerto, Jawa Timur 61352, Indonesia",Kab
Madrasah Ibtidaiyah Nurul Huda,-7.36991,112.4619,"Lakardowo, Jetis, Mojokerto, East Java 61352, Indonesia",Kab
Makam Mbah Ageng Jabung,-7.61493,112.4144,"Jl. Jatirejo - Jabung, Jabung, Lebakjabung, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
Makam Mbah Sinari Sayyid Ahmad Marzuki,-7.64048,112.4406,"Unnamed Road, Manting, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
Manduro MG,-7.58311,112.6348,"Manduro MG, Ngoro, Mojokerto, East Java, Indonesia",Kab
MAREM Warkop Markas Remaja & Rokok CK,-7.41292,112.3755,"Kanigoro Kidul, Mojopilang, Kemlagi, Mojokerto, East Java 61353, Indonesia",Kab
MIE AYAM BAROKAH + Warkop free wifi,-7.54861,112.6032,"Lolawang, Ngoro, Mojokerto, East Java 61385, Indonesia",Kab
Mie Ayam Dan Warkop Luckyy,-7.55957,112.4522,"Plaosan, Sambilawang, Dlanggu, Mojokerto, East Java 61371, Indonesia",Kab
Mitra Bukalapak - Warkop Surya,-7.49184,112.499,"Jln Nusa indah RT.10 / 02 Desa Gayam Kec Bangsal - Mojokerto, Rw. 1, Gayam, Kec. Bangsal, Kab. Mojokerto, Jawa Timur 61381, Indonesia",Kab
Mojogebang,-7.40556,112.3606,"Mojogebang, Kemlagi, Mojokerto, East Java, Indonesia",Kab
Mojogeneng,-7.58452,112.4455,"Mojogeneng, Jatirejo, Mojokerto, East Java, Indonesia",Kab
Mojokerto,-7.56383,112.4768,"Mojokerto, East Java, Indonesia",Kab
Mount Penanggungan,-7.61503,112.6202,"Mount Penanggungan, Area Hutan, Hutan, Trawas, Mojokerto, East Java, Indonesia",Kab
"MUHEK WARUNG SAMBEL TERI,WDER & TEMPE,LODEH DLL + WARKOP FREE WIFI",-7.57765,112.4181,"Unnamed Road, Kedung Rupit, Sumengko, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
Ngoro,-7.56556,112.6318,"Ngoro, Mojokerto, East Java, Indonesia",Kab
Niagara Kabejan Jembul,-7.67094,112.4469,"Hutan, Jembul, Jatirejo, Mojokerto, East Java 61373, Indonesia",Kab
Nugroho Warkop,-7.49096,112.4255,"Jl. R.A Basuni, Sooko, Kec. Sooko, Kota Mojokerto, Jawa Timur 61361, Indonesia",Kab
OLENG CAFE 81,-7.49756,112.3953,"Jl. Raya Madurejo No.62, Modongan, Kec. Sooko, Mojokerto, Jawa Timur 61361, Indonesia",Kab
Opek Warkop,-7.52896,112.5375,"Jl. A. Yani, Jurangsari, Belahantengah, Kec. Mojosari, Mojokerto, Jawa Timur 61383, Indonesia",Kab
Padusan,-7.68563,112.5439,"Padusan, Pacet, Mojokerto, East Java, Indonesia",Kab
Padusan Hot Spring,-7.68075,112.5432,"Pacet, Mojokerto, East Java 61374, Indonesia",Kab
Panggih,-7.51664,112.3889,"Panggih, Trowulan, Mojokerto, East Java, Indonesia",Kab
PANGLIMA COFEE,-7.4976,112.4199,"Ds. Daleman, RT.07/RW.03, Dalmon Utara, Japan, Kec. Sooko, Mojokerto, Jawa Timur 61361, Indonesia",Kab
Paringan,-7.3999,112.4679,"Paringan, Jetis, Mojokerto, East Java, Indonesia",Kab
Pasar Dawarblandong,-7.33205,112.4254,"Sidokerto, Pulorejo, Dawar Blandong, Mojokerto, East Java 61354, Indonesia",Kab
Pemandian Air Panas,-7.68592,112.5491,"Unnamed Road, Padusan, Kec. Pacet, Mojokerto, Jawa Timur 61374, Indonesia",Kab
Pemandian Air Panas Pacet,-7.68533,112.549,"Padusan, Pacet, Mojokerto, East Java 61374, Indonesia",Kab
Perum Perhutani,-7.68598,112.5472,"KBM wisata san jasa lingkungan (pacet, Padusan, Kec. Pacet, Mojokerto, Jawa Timur 61374, Indonesia",Kab
Perumahan PUCUK INDAH,-7.33959,112.4425,"Jl. Raya Pucuk, Pucuk, Dawar Blandong, Mojokerto, Jawa Timur 61354, Indonesia",Kab
PHC Dawar blandong,-7.32916,112.4249,"Jl. Mayjen Sungkono No.17, Sidokerto, Pulorejo, Dawar Blandong, Mojokerto, Jawa Timur 61354, Indonesia",Kab
PT. Bank Rakyat Indonesia Unit Jatirejo,-7.59076,112.4297,"Jl. Diponegoro No.36, Dinoyo, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
PT. Putra Restu Ibu Abadi,-7.37527,112.4629,"Jalan Raya Lakardowo, Lakardowo, Jetis, Sumber Wuluh, Lakardowo, Kec. Jetis, Mojokerto, Jawa Timur 61352, Indonesia",Kab
Pucuk,-7.34055,112.444,"Pucuk, Dawar Blandong, Mojokerto, East Java, Indonesia",Kab
Pulorejo,-7.32603,112.4321,"Pulorejo, Dawar Blandong, Mojokerto, East Java, Indonesia",Kab
Purnama warkop Wifi (Dayon),-7.41188,112.3634,"Gebangperut, Mojogebang, Kemlagi, Mojokerto, East Java 61353, Indonesia",Kab
Purworejo,-7.59019,112.5571,"Purworejo, Pungging, Mojokerto, East Java, Indonesia",Kab
Puskesmas Jatirejo,-7.59109,112.4326,"Jl. Basuki Rahmat No.26, Jasem, Dinoyo, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
Puskesmas Jatirejo,-7.59973,112.4105,"Jl. Basuki Rahmat No.26A, Mrisen, Jatirejo, Mojokerto, Jawa Timur 61419, Indonesia",Kab
Puskesmas Kutorejo,-7.56765,112.5101,"Jl. Mayjen H. Soemadi No.107, Jatisari, Kutorejo, Kec. Kutorejo, Mojokerto, Jawa Timur 61383, Indonesia",Kab
Puskesmas Pungging,-7.52539,112.5841,"Jl. Raya Pungging No.62, Dusun Pungging, Pungging, Kec. Pungging, Mojokerto, Jawa Timur 61384, Indonesia",Kab
Puskesmas Puri Kabupaten Mojokerto,-7.54442,112.4638,"Tangunan, Puri, Mojokerto, East Java 61363, Indonesia",Kab
Q-La COFFEE,-7.40126,112.4275,"Jl. Pb Sudirman No.17, Kupang, Kec. Jetis, Mojokerto, Jawa Timur 61352, Indonesia",Kab
R Warkop 79,-7.51264,112.5627,"Jl. Kartini No.48, Rw. IV, Seduri, Kec. Mojosari, Mojokerto, Jawa Timur 61382, Indonesia",Kab
Randegan,-7.31242,112.4753,"Randegan, Dawar Blandong, Mojokerto, East Java, Indonesia",Kab
Raset Warkop & Food,-7.50104,112.4538,"Dimoro, Tambakagung, Puri, Mojokerto, East Java 61363, Indonesia",Kab
Ratih warkop,-7.60924,112.5254,"Cepogo, Centong, Gondang, Mojokerto, East Java 61372, Indonesia",Kab
Rega Warkop,-7.58118,112.4128,"Sumberkenongo, Gading, Jatirejo, Mojokerto, East Java 61373, Indonesia",Kab
RINO WENGI,-7.41175,112.4727,"dusun pecarikan RT.02/RW.03, Pacarikan, Jetis, Kec. Jetis, Mojokerto, Jawa Timur 61352, Indonesia",Kab
Rudiztarega Warkop Wifi,-7.55937,112.3699,"Tegalor, Trowulan, Mojokerto, East Java 61362, Indonesia",Kab
Rujak DeSri & Warkop,-7.48814,112.4778,"Unnamed Road, Rangka, Sumberjati, Kec. Mojoanyar, Mojokerto, Jawa Timur 61364, Indonesia",Kab
"Rumah Murah, Perumahan Mojogebang Indah",-7.4126,112.3626,"Gebangperut, Mojogebang, Kemlagi, Mojokerto, East Java 61353, Indonesia",Kab
SATRIA COFFE,-7.60059,112.4411,"Alternatif Jombang RT. 2 RW. 3 Sumberagung Dsn, Jl. Pangi, Semambung, Sumberagung, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
Scudetto Coffee,-7.52066,112.5602,"Jl. Masjid No.45, Rw. II, Sarirejo, Kec. Mojosari, Mojokerto, Jawa Timur 61382, Indonesia",Kab
SDN DINOYO 1,-7.59153,112.4272,"Jl. Raya Dinoyo, Dinoyo, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
SDN Dinoyo 2,-7.59091,112.4333,"Jasem, Dinoyo, Jatirejo, Mojokerto, East Java 61373, Indonesia",Kab
SDN KUMITIR 1,-7.56768,112.4166,"Jl. Raya Domas No.105, Bendo, Kumitir, Jatirejo, Mojokerto, Jawa Timur 61373, Indonesia",Kab
SDN Mojowono,-7.39816,112.3666,"Wonorejo, Mojowono, Kemlagi, Mojokerto, East Java 61353, Indonesia",Kab
Sdn Rejosari,-7.66026,112.4352,"Lebaksari, Rejosari, Jatirejo, Mojokerto, East Java 61373, Indonesia",Kab
SDN Sumberjati,-7.62575,112.4234,"Petung, Sumberjati, Jatirejo, Mojokerto, East Java 61373, Indonesia",Kab
SDN Talun,-7.32375,112.4069,"Talunblandong, Dawar Blandong, Mojokerto, East Java 61354, Indonesia",Kab
Sdn Wotanmas Jedong,-7.51878,112.5578,"Jl. Airlangga No.2, Rw. I, Wotanmasjedong, Kec. Ngoro, Mojokerto, Jawa Timur 61382, Indonesia",Kab
Selotapak,-7.65512,112.5916,"Selotapak, Trawas, Mojokerto, East Java, Indonesia",Kab
Sidorejo,-7.38949,112.4738,"Sidorejo, Jetis, Mojokerto, East Java, Indonesia",Kab
Sinyo Warkop +Nasi Tempe Penyet Lalapan.Tahu Tec.Tahu Telor Dll.,-7.48166,112.4753,"Jl. Dusun Rangkah Lor, Sumberjati, RT4, RW2, Karang Bendo, Sumberjati, Kec. Mojoanyar, Mojokerto, Jawa Timur 61364, Indonesia",Kab
Situs Kumitir,-7.57113,112.4128,"Unnamed Road, Sedati, Kumitir, Jatirejo, Mojokerto, East Java 61373, Indonesia",Kab
SMAN 1 Puri Mojokerto,-7.48244,112.4397,"Jl. Jayanegara No.2, Gatul, Banjaragung, Kec. Puri, Mojokerto, Jawa Timur 61363, Indonesia",Kab
SMP Negeri 1 Dawarblandong,-7.32917,112.4351,"Jl. Bung Tomo No.01, Sidobecik, Pulorejo, Dawar Blandong, Mojokerto, Jawa Timur 61354, Indonesia",Kab
SMP Negeri 1 Jatirejo,-7.58981,112.4186,"JL. Raya Gebangsari, No. 4, Jatirejo, Bulaksempuh, Gebangsari, Kec. Mojoagung, Mojokerto, Jawa Timur 61373, Indonesia",Kab
SMP Negeri 2 Gedeg,-7.44557,112.434,"Gg. 7, Losari Timur, Sidoharjo, Kec. Gedek, Mojokerto, Jawa Timur 61351, Indonesia",Kab
Stmj & Warkop,-7.53447,112.5605,"Jl. Mojosari - Trawas RT. 02 RW. 04 Lebak, Dusun Lb., Lebaksono, Kec. Pungging, Mojokerto, Jawa Timur 61384, Indonesia",Kab
Sugeng,-7.59514,112.5767,"Sugeng, Trawas, Mojokerto, East Java, Indonesia",Kab
Sukosari,-7.64715,112.5752,"Sukosari, Trawas, Mojokerto, East Java, Indonesia",Kab
